DW_CLIENTE;DW_TEMPO;DW_LOCALIDADE;vr_total_venda
cd1b43fb8425221246dbe521a26c970b7cee71cde24a2ab91510ca11abfbb36c;89502dbc4667444c4f53b163899e6f27206b85db9aba343ff9eb4ecd346b923f;14d09dbf5ddb1b5e3ce1e6b658d0532a7709d588814e5ddfaee9f6612b5e5d0f;""
18461c144ba41c637e8e57c9013f8681fcbd8af9cc8ca2cbc1d8bbff31d64070;24f0aa52fe17b4b33a5d13ee29f26f5ee87853278b93ae0a5f5b0360c96f6ca7;d98cd46b29223729db6152fcea6b8ca75aaaff316a8f1983ece2558eff534417;1290.0
24723d81eccfe3c3b5456b1909544212450f2b87fa35229a579d70a0502d7eb5;451506eb7c657a59f6cfdf5d3532034efe11d487e40e6ec88fe56bc690d32977;909b80cce74e407071a7c7078451f1fe9006974e62ff282df3dbf57fb635691e;808.0
b58d4fbe2efa17d486ae159d042a4cff172c629ea47d717640f6590c41da56f3;7cdf990ad60b17fbfa64b6b628938f94a6f7276951e2bc420ee4b87386d8de3f;953665b2e5635105a5c9975c5035da921e79da57767cba1c2208369789172c7d;""
5d41576f0139fa33b0fb3909fef69573f2e26b6e77db82d1a23ba0048e0ddf4c;10cac93e3100360b9b9c21ad0d4dd7b9ca95d836997bd973c26e80b1033b7776;3366db7510b6808d61fefe23a599eca41f1f9b630c253f892d07576ccbb16495;""
cc955280eb3f5e6fcb2156030001b93e80e3746a25685eda099028b59adf835a;849cdbdde9279e75c989431b203aad261b4607de8ab7cc4372e918b56a388eb2;28b5c1631ecc7943376d69183d6ac553a9b04d2f41b47054c61ccda435de1072;""
59aa464f3c3000b8ad24609202a72189ada2a78d18741d0da99f94780024ac63;19650da03dd0ab25228cc7f41378dad56baf06169ef8dac5201dc722c43bdb39;6da063becabcdcdb5514fc42165128e85b6b7334a11e85fb8b1f4041dca41253;7501.0
f888e97ae246d3932e8cebf100d136aaf5f8747fcff1abc478c3924ec1d3d805;f1b6773d7e441fa6b0350df496f7a59a3cb11c685c58c05aee2bde8ec49d2651;5f46f12c4860fc0e1699cc1b513cc90089776df20b43e81ab43d5117a9d7187e;""
96b72493b94691fd2370bf1cca6ba8b2bad3f07369a49297c7bb9078128cec55;c08537960dbba957d99dfb5e3795c9863caf980130bbb6ce958575abdd55416b;5ac66d19aeafdc63f064e04d6098f3d4b0111b3efe8713533a224d626119487a;""
3943a70e726f7e31cb55b7cf8d0574c1e9845187905f05775915a17f95632f74;86953427c5d9f9862b00485ed961838d28103b49332823ad308ab5dbcaba794d;0777609d8e0e3ac063b00f5f3074f9b859b55cc2fdb1d4f5b09b2b4a92400cb7;741.0
1f45362329b8be439fca2ac55ca0995b048b81bfe58f8a2f97ea7ba873a09a2a;64bd36a9404e066966f18989c85a4682b4454301d4b2b2e2a199e17366542862;8347d62fe9c43ca8a967d9d3270dcfd1455d22ea3eb58d3e76653acb6c91da26;""
